	Article Title	Description	Coding	Movie
0	The Ballad Of Songbirds & Snakes Review: Some Stumbles In Adaptation	The Hunger Games: The Ballad Of Songbirds & Snakes stumbles in adaptation from book to film primarily in the structure, and while it also runs a little too long, it's not a bad return to this world for those familiar with this franchise or those who know next…	Movie production	THG
1	Eli Roth’s ‘Thanksgiving’ Give Us A Horror Icon With All The Trimmings	The film's director and co-writer breaks down how he assembled a feast for horror fans with his new holiday classic.	Actor & Director	Thanksgiving
2	The Best Bang for Your Buck Events in Portland This Weekend: Nov 17–19, 2023	Wild Arts Festival, St. Johns Plaza Tree Lighting, and More Cheap & Easy Events Under $15	Unrelated	Not relevant
3	‘Thanksgiving’ Director Eli Roth on His ‘Morality Tale’ of a Slasher Film: ‘If Someone Gets Killed, Who’s Going to Take Care of the Cat?’	Originally conceived as a phony, all-killer-no-filler trailer to be sandwiched between “Planet Terror” and “Death Proof” in Robert Rodriguez and Quentin Tarantino’s 2007 exploitation tribute double feature “Grindhouse,” Eli Roth’s “Thanksgiving” was never mea…	Actor & Director	Thanksgiving
4	Ballad of Songbirds and Snakes tops box office while The Marvels drops	'The Hunger Games: The Ballad of Songbirds and Snakes' tops the weekend box office with $44 million in North America, and $98.5 million worldwide — still the smallest opening of the franchise.	Performance	THG
5	Review: ‘The Hunger Games: The Ballad of Songbirds & Snakes’ lacks the substance of its source material	‘The Hunger Games: The Ballad of Songbirds & Snakes’ is the cursory origin story of the series’ president	Backlash	THG
6	‘Saltburn’ In Year’s Top Limited Openings, ‘The Holdovers’ Aces Expansion, ‘Stop Making Sense’ Blows Past Original 1984 Run – Specialty Box Office	In a super weekend for specialty, Saltburn had a lofty open on seven screens and The Holdovers a nice $2.7 million in a major week-three expansion that put it at no. 6 at the domestic box office. Actors are once again out promoting their films and indie/origi…	Performance	The Holdovers
7	The strike has dimmed the spotlight on the fall's best performances. Here's 13 you shouldn't miss	One of the many impacts of Hollywood's lengthy actors strike has been that most performers haven't been able to promote their work	Unrelated	Not relevant
8	‘The Holdovers’: How an Unmade TV Pilot, an Obscure 1930s French Film, Some Viciously Erudite Insults, and a Party Bus Shaped Alexander Payne's New Prep-School Comedy	Before he could write the film that reunites director Payne with Sideways star Paul Giamatti, screenwriter David Hemingson had to live it—or most of it, anyway.	Movie production	The Holdovers
9	Patrick Dempsey finally uses his ‘natural’ Maine accent in new horror film	Lewiston native and newly minted sexiest man alive Patrick Dempsey got to use his “natural” accent in a horror film premiering this weekend in movie theaters.	Actor & Director	Thanksgiving
10	Thanksgiving Review	Eli Roth delivers a solid slasher flick that features some truly incredible practical FX and killer stalking sequences.	Positive review	Thanksgiving
11	"Jacob Elordi Says He Ate a Pound of Bacon Every Day to Prepare to Play Elvis Presley in ""Priscilla"""	The actor revealed that he was “the biggest” he's ever been while trying to eat The King's infamously bad diet.	Actor & Director	Priscilla
12	‘Thanksgiving’ Review – New Holiday Slasher Carves Up a Gory Feast for Horror Fans	After 16 years, Eli Roth finally expands his faux Grindhouse trailer into feature form in Thanksgiving. Instead of building his quintessential slasher around the grainy Grindhouse anesthetic, however, he brings the classic-style slasher into the modern world.…	Positive review	Thanksgiving
13	Jacob Elordi didn’t want to make ‘ridiculous’ Kissing Booth movies	Jacob Elordi has revealed that he didn’t want to make the “ridiculous” Kissing Booth movies that first put him on our TV screens. The Aussie heartthrob, who fans are about to see portray Elvis in Sophia Coppola’s Priscilla, first got on Hollywood’s radar when…	Actor & Director	Priscilla
14	‘Thanksgiving’ Review: A Gushy Horror Casserole of Pure Idiocy	Based on the fake trailer Eli Roth directed for Grindhouse, the full-length version of Thanksgiving occurs in modern-day Plymouth, Massachusetts. His long-awaited full-length feature based ... Read More	Backlash	Thanksgiving
15	Priscilla Presley Shares Why She & Elvis Presley Only Had One Kid & Explains Why She Never ReMarried	Priscilla Presley is looking back at her marriage to Elvis Presley. Priscilla, 78, was married to the late King of Rock and Roll from 1967 until 1973. Elvis died four years later in 1977. Together, they share daughter Lisa Marie Presley, who sadly passed in e…	Actor & Director	Priscilla
16	‘The Marvels’ Box Office Flops At $47 Million, Marvel’s Lowest Grossing Opening Film Ever	There’s no other way to put it. It’s not a good day for Marvel Studios as their third film of 2023, “The Marvels,” opened to just $47 million at the U.S. box office—the lowest-grossing opening weekend of any Marvel movie ever (yes, even lower than 2008’s “The…	Performance	The Marvels
17	Emerald Fennell-Directed ‘Saltburn’ Conjured Images of Dark, Bloody Comedy, Says Cinematographer Linus Sandgren at Camerimage	Cinematographer Linus Sandgren says he and director Emerald Fennell relied on their emotions and instincts to conjure the “gothic” look of “Saltburn,” the hybrid psychological horror and dark comedy just screened at the Camerimage cinematography festival in T…	Movie production	Saltburn
18	‘Thanksgiving’: Eli Roth’s Throwback Slasher Can Go Stuff Itself	What started as a feature-length take on an ingenious fake trailer is now just another messy, lazy horror film that strains to be merely mediocre.	Backlash	Thanksgiving
19	‘The Marvels’ Projected $110M-$115M Worldwide Debut An All-Time Low For Disney MCU	Remember the bright shining light that was Captain Marvel when she showed up to shepherd Tony Stark to safety in the first few minutes of 2019’s Avengers: Endgame? Well, judging by this weekend’s projections for Carol Danvers’ latest outing, that light has di…	Performance	The Marvels
20	What it Takes to Make a 1970s Movie in 2023	Director Alexander Payne loves old movies so much he made one himself. “The Holdovers” is about disparate characters marooned together at a New England prep school over Christmas break in 1970. From the Cat Stevens music on the soundtrack to the grainy textur…	Movie production	The Holdovers
21	Everything You Actually Need to Know Before the New Hunger Games Prequel	It’s been eight years since the Jennifer Lawrence–led ‘Hunger Games’ ruled pop culture, but fear not — here’s a refresher on everything you need to know before ‘The Ballad of Songbirds & Snakes.’	Movie production	THG
22	Thanksgiving 2: Is It Happening? Everything We Know	Eli Roth's holiday horror splatter flick Thanksgiving brings terror to Turkey Day, but will there be a sequel in the burgeoning slasher franchise?	Movie production	The Marvels
23	‘The Marvels’ Has Worst Ever MCU Opening Weekend	The Marvels misfired at the box office, becoming the worst debut in the history of the Marvel Cinematic Universe. The Nia DaCosta-directed superhero sequel starring ... Read More	Backlash	The Marvels
24	The Hunger Games Forgets Its Own Nightmarish Message	The Ballad of Songbirds and Snakes has star power and action, but the prequel film lacks its predecessor’s sense of moral lucidity.	Backlash	THG
25	Will Napoleon’s Oscar Campaign End in Victory?	Ridley Scott’s historical epic ‘Napoleon’ charged into the Oscars race this week, with a surprise worthy of Austerlitz: the movie is funny. Will its awards campaign end in victory?	Unrelated	Not relevant
26	Priscilla and Sofia Coppola’s lonely girls	Solitude and wisdom at the movies.	Movie production	Priscilla
27	Finally, a Gruesome ‘Thanksgiving’ Slasher Movie to Feast On	Sony Pictures Entertainment/YouTube Screenshot	Movie production	Thanksgiving
28	The Top 42 Events in Portland This Week: Nov 6–12, 2023	Ms. Lauryn Hill, Les Misérables, and More Top Picks	Unrelated	Not relevant
29	In Priscilla, Sofia Coppola tells a story that is frighteningly familiar	A charismatic man, a girl in love, an age gap and a power differential: Sofia Coppola’s Priscilla biopic is sympathetic and cautionary about the appeals of losing oneself in the arms of a man, writes Christina Newland	Movie production	Priscilla
30	Is ‘The Holdovers’ Really ‘a ’70s Movie’? Or Is It the New ‘Green Book’?	In the most shockingly funny moment of Alexander Payne’s “Sideways,” Miles Raymond, the desperate English teacher and wine aficionado (that is, alcoholic with good taste) played by Paul Giamatti, has just learned that his book was turned down by the publisher…	Movie production	The Holdovers
31	‘The Hunger Games: The Ballad of Songbirds and Snakes’ review: Needs a better ending	Now that 11 years have passed since “The Hunger Games” first hit theaters, it’s impossible to spoil these movies anymore.  So, I can reveal to you without any shame whatsoever that in the fifth film of the franchise, “The Hunger Games: The Ballad of Songbirds…	Backlash	THG
32	"BioShock Director Says They Have ""A Really Good Script"""	For a long time, it felt like video game adaptations could not get it together, and several were in such a low level of development hell that they were frozen in a lake of ice. Then, one by one, those projects started happening and getting off the ground. The…	Unrelated	Not relevant
33	Hunger Games' Lucy Gray May Have Connection To Mockingjay Character, Says Director	Director Francis Lawrence teases that The Hunger Games: The Ballad of Songbirds and Snakes’ Lucy Gray might be connected to a Mockingjay character.	Movie production	THG
34	​ Alexander Payne's 'The holdovers' unveils the 'dark side' of Christmas in a nostalgic setting	Under the guidance of director Alexander Payne, this poignant comedy unfolds the story of Paul Hunham, an acerbic ancient history teacher, portrayed by Paul Giamatti, who unexpectedly becomes responsible for the well-being of prep school students unable to re…	Movie production	The Holdovers
35	Most Anticipated Horror Movies Coming Out In 2023 & Beyond	What are the best and most anticipated horror movies coming out in 2023, 2024, and beyond? There’s no shortage of scary films over the next few years, as we see the return of terrifying series such as A Quiet Place and Alien, along with new work from director…	Unrelated	Not relevant
36	Thanksgiving Director Eli Roth On Casting A Slasher And Putting Humor In Horror [Exclusive Interview]	/Film spoke with director Eli Roth, who adapted his Thanksgiving short into a full-length feature, about casting, the mixture of comedy and horror, and more.	Actor & Director	Thanksgiving
37	Sofia Coppola’s Priscilla Can’t Escape Elvis’ Looming Shadow	Even as it tries to comment on how mythic men overtake women’s lives, the film has trouble wrangling with such a legally protected legacy.	Movie production	Priscilla
38	‘Saltburn’ review: A sexy, mysterious, shocking thriller	"While ""Saltburn"" is undoubtedly alluring and has the whiff of a thriller, the family’s aristocratic antics are hysterical."	Positive review	Saltburn
39	The Holdovers Is Tender, Triumphant, and Incorrigibly Corny	It may not be the future of filmmaking, but for two hours at least, the past has rarely felt more present.	Backlash	The Holdovers
40	Hunger Games Prequel Opens No. 1 at Box Office, The Marvels Crumbles	'The Hunger Games: The Ballad of Songbirds and Snakes' is winning the pre-Thanksgiving weekend, while 'Trolls Band Together' is headed for a second-place finish with $30 million.	Performance	THG
41	Paul Giamatti talks filming ‘The Holdovers’ in Massachusetts with Stephen Colbert	The actor opened up about his latest film on “The Late Show.”	Movie production	The Holdovers
42	Nolte: Disney’s Doomed ‘The Marvels’ Earns Worst MCU Monday Ever	There’s a good chance The Marvels will not cross the $100 million domestic mark, which seemed impossible for a Marvel movie last week.	Backlash	The Marvels
43	Is The Hunger Games: The Ballad Of Songbirds & Snakes Suitable For Children?	The film will occupy the same MPAA rating as previous Hunger Games installments, but the images may prove more disturbing in the upcoming prequel.	Movie production	THG
44	2 'Hunger Games' Prequel Characters' Looks Pay Tribute To The OGs	'Ballad of Songbirds & Snakes' MUA Sherri Berman Laurence reveals how the characters' looks are inspired by the originals and the Easter eggs to look out for.	Movie production	THG
45	Box Office: ‘Five Nights at Freddy’s’ Slays With $78 Million Domestic Debut, $130 Million Globally	Universal and Blumhouse’s funhouse thriller “Five Nights at Freddy’s” slayed box office expectations with its scary-good $78 million North American debut. Those ticket sales are especially impressive because the film landed simultaneously on Peacock, the stre…	Unrelated	Not relevant
46	Box Office: ‘The Marvels’ Gets Grounded With MCU’s Second-Lowest Opening Day Ever	What a difference four years makes. When “Captain Marvel” hit theaters in March 2019, it landed what was then the seventh-highest domestic opening weekend across Marvel Cinematic Universe entries with $153 million — a colossal figure that only one 2023 releas…	Performance	The Marvels
47	There Are Only 2 Grindhouse Trailers Left After Eli Roth's Thanksgiving: Will They Become Movies Too?	Following the release of Eli Roth slasher Thanksgiving, only two more fake Grindhouse trailers remain - but will they receive movie adaptations too?	Movie production	Thanksgiving
48	Box Office Report: This Elvis is Taller	The post-Halloween weekend meant that horror movie Five Nights at Freddy's was probably always going to stay on the top spot at the box office, unless Taylor Swift added some zombie content to her Eras Tour film. Spoiler: she didn't....	Performance	Priscilla
49	The Hunger Games: The Ballad Of Songbirds And Snakes Ending Explained: Snow Always Lands On Top	The Hunger Games: The Ballad of Songbirds and Snakes may be a prequel, but the ending has much more complexity in setting up President Snow than you may think.	Movie production	THG
50	Thanksgiving is secretly the best Scream movie since Wes Craven’s run	Thanksgiving, the new horror movie from Eli Roth, is a mysterious, hilarious slasher equal to Wes Craven’s Scream movies. In theaters Nov. 17.	Positive review	Thanksgiving
51	THE MARVELS Star Brie Larson Teases Her Next MCU Appearance As Carol Danvers	Despite rumors to the contrary, it seems Brie Larson fully intends to return as Carol Danvers, and The Marvels star teased her next Marvel Cinematic Universe appearance in a new interview...	Actor & Director	The Marvels
52	Marvel Taught Us That Movies Need to Be Events, but the MCU No Longer Qualifies	"The Marvels is a disaster while ""Priscilla"" and ""The Holdovers"" both stay strong. ""Dream Scenario"" and ""Tiger 3"" thrive in platform release."	Performance	The Marvels
53	‘Hunger Games’ prequel tops box office	The Hunger Games: The Ballad of Songbirds & Snakes topped the North American box office in its first weekend in theaters with $44 million in ticket sales, according to studio estimates Sunday.	Performance	THG
54	THE MARVELS: Images Of A Certain Character Have Leaked Online	We've seen footage from the mid-credits scene, but now some shots from the other big cameo in The Marvels have been shared online...	Movie production	The Marvels
55	Why Catching Fire is the Best Hunger Games Movie	When The Hunger Games: Ballad of Songbirds & Snakes comes out this week, it’ll have some pretty big shoes to fill. Not only does it have to overcome the massive hole left behind by Jennifer Lawrence, whose performance in the original Hunger Games series catap…	Positive review	THG
56	The Hunger Games: The Ballad of Songbirds and Snakes Review	The Ballad of Songbirds and Snakes is a noble attempt to resurrect the Hunger Games franchise, but it's too long and uneven.	Backlash	THG
57	The Science of Scoring Sofia Coppola’s Movies	Phoenix’s Thomas Mars and Laurent Brancowitz take us inside the process of scoring Sofia Coppola’s films, from ‘Priscilla’ to ‘Somewhere’ and everything in between.	Movie production	Priscilla
58	How Much The Hunger Games: The Ballad Of Songbirds & Snakes Cost To Make & What Box Office It Needs	The Ballad of Songbirds &amp; Snakes continues the Hunger Games franchise story. Is it expected to do well at the box office? We break down the numbers.	Performance	THG
59	Associated Press: Superhero fatigue? ‘The Marvels’ flops in its opening weekend, grossing just $47 million	“The Marvels” debuted with more than $100 million less than “Captain Marvel” opened with — something no sequel before has ever done.	Performance	The Marvels
60	‘The Marvels’ Will Become the First MCU Title to Fall Short of $100 Million Domestic	"In happier box-office news, ""The Hunger Games: Ballad of Songbirds and Snakes"" opened well while ""Saltburn"" and ""Fallen Leaves"" had strong limited debuts."	Performance	The Marvels
61	THE MARVELS Star Teyonah Parris Tries On Her Super-Suit For The First Time In Behind-The-Scenes Video	Teyonah Parris has taken to Instagram to share a video of her trying on Monica Rambeau's super-suit for the very first time, and to say the actress is excited might be an understatement!	Movie production	The Marvels
62	The Marvels: Cast, Story & Everything We Know	The Marvels brings Carol Danvers, Kamala Khan, and Monica Rambeau into Phase 5 of the MCU. Here's everything we know about the Captain Marvel sequel.	Movie production	The Marvels
63	Eli Roth's Thanksgiving Is a Dumb, Disgusting Delight	Image: Sony Pictures	Backlash	Thanksgiving
64	‘The Holdovers’ Director Alexander Payne Wants “Theatrical Real Estate Dedicated To More Human Films” — Contenders Film L.A.	Alexander Payne, director of The Holdovers, said he gets pushback for the kinds of films that he makes but he plans to persevere and hopes there will be more space for “human” stories in theaters. “People ask ‘How is it you’re making these human comedy-dramas…	Actor & Director	The Holdovers
65	A Star Is Born in Hunger Games Prequel	"Sixty-four years before Katniss Everdeen volunteers as tribute in the 74th annual Hunger Games, marking the beginning of the end for Panem President Coriolanus Snow, a teenage ""Corio"" is assigned to mentor another District 12 tribute in the 10th Hunger Games.…"	Movie production	THG
