Article Title	Description	Coding	Related to a movie ?								
Meghan Markle leads stars arriving at Power of Women event in US	The Duchess of Sussex has attended a star-studded ceremony to celebrate the accomplishments of women in entertainment.	Actors	NO		categories						
Thanksgiving is secretly the best Scream movie since Wes Craven’s run	Thanksgiving, the new horror movie from Eli Roth, is a mysterious, hilarious slasher equal to Wes Craven’s Scream movies. In theaters Nov. 17.	Positive Rating	YES		Actors	event	ceremony	heroine	news		
Why the ‘Priscilla’ Costume Designer Made Lingerie Timelines for the Movie’s Most Intimate Scenes	She sourced over 120 outfits for the movie's lead actress, and each piece had to tell a part of the story.	Costumes	YES		Positive Rating	best	alluring	good start	standing up for	support	top spot 
"‘The Hunger Games: The Ballad Of Songbirds & Snakes’ Devours $99M Global Opening; ‘Trolls Band Together’ Tops $100M WW"	Tom Blyth and Rachel Zegler in 'The Hunger Games: The Ballad of Songbirds & Snakes' Refresh for latest…: Lionsgate’s The Hunger Games: The Ballad of Songbirds & Snakes very (very) narrowly missed the $100M mark globally in its opening weekend, but it’s as nea…	Financial	YES		Costumes	costume	lingerie	designer			
‘Saltburn’ review: A sexy, mysterious, shocking thriller	"While ""Saltburn"" is undoubtedly alluring and has the whiff of a thriller, the family’s aristocratic antics are hysterical."	Positive Rating	YES		Negative Rating	low	hit a low	tricky 	low point		
How Cailee Spaeny Became Priscilla Presley	Inside the endless fittings, giant wigs, intimate conversations, and single-take risks that went into the creation of an indelible heroine for Sofia Coppola’s new film.	Actors	YES		Performance	#numbers	$currencies	millions	box office		
‘Hunger Games’ prequel tops box office	The Hunger Games: The Ballad of Songbirds & Snakes topped the North American box office in its first weekend in theaters with $44 million in ticket sales, according to studio estimates Sunday.	Financial 	YES		Explanation	Break down	insight	Explain			
Box Office Results: Hunger Games Prequel Rises to the Top as Marvels Sinks	There are plenty of pros and cons at the box office this week. We’ll start with the good news. The Hunger Games prequel, The Ballad of Songbirds & Snakes, opened with a decent but not spectacular $44 million, enough to propel the Francis Lawrence-directed pic…	Financial	YES								
“Yuck! GIRLS!” Legendary Author Mocks ‘The Marvels’ Haters, Toxic “Fanboys”	Despite not actually being a fan of the Marvel Cinematic Universe (MCU), horror novelist Stephen King is standing up for director Nia DaCosta’s latest outing, The Marvels (2023), after the comic book sequel suffered the worst opening weekend in franchise hist…	Positive Rating	YES								
The Marvels Reveals Why Carol Danvers Never Came Back Home	Nia DaCosta's The Marvels addresses a major hole in the life of Carol Danvers aka Captain Marvel after she left Earth for space in the mid-1990s.	Explanation									
